"species" "location" "dbh" "age"
"beech" "C" 31 55
"oak" "B" 18 43
"spruce" "C" 20 43
"beech" "B" 21 35
"birch" "B" 12 19
"fir" "D" 18 23
"beech" "C" 22 30
"oak" "A" 18 39
"oak" "C" 28 35
"fir" "A" 29 36
"spruce" "B" 20 43
"oak" "A" 32 72
"oak" "D" 27 43
"spruce" "C" 24 49
"spruce" "B" 26 39
"spruce" "C" 21 48
"beech" "A" 37 59
"oak" "C" 13 31
"spruce" "B" 21 52
"oak" "C" 9 15
"beech" "C" 26 43
"spruce" "D" 25 62
"spruce" "D" 27 66
"beech" "A" 28 44
"spruce" "B" 22 48
"oak" "C" 27 49
"oak" "A" 34 67
"oak" "C" 24 45
"birch" "C" 11 17
"spruce" "A" 25 53
"oak" "D" 20 49
"beech" "A" 24 35
"fir" "C" 21 24
"oak" "C" 28 40
"beech" "C" 27 32
"oak" "B" 30 52
"oak" "D" 28 65
"spruce" "C" 22 45
"spruce" "B" 22 52
"spruce" "A" 22 65
"spruce" "C" 27 74
"beech" "B" 30 61
"spruce" "B" 23 48
"oak" "D" 39 71
"spruce" "C" 22 44
"oak" "B" 25 34
"beech" "D" 25 35
"spruce" "B" 23 44
"spruce" "C" 22 41
"spruce" "D" 24 57
"beech" "A" 22 35
"oak" "A" 26 63
"birch" "C" 14 19
"beech" "B" 14 16
"beech" "C" 35 65
"spruce" "A" 20 46
"fir" "B" 24 30
"spruce" "A" 23 42
"beech" "D" 23 34
"beech" "A" 37 50
"beech" "B" 30 56
"oak" "A" 29 52
"oak" "A" 23 40
"oak" "A" 26 34
"beech" "A" 34 55
"spruce" "A" 29 74
"spruce" "C" 27 66
"oak" "C" 22 45
"spruce" "A" 28 59
"beech" "A" 27 50
"beech" "A" 27 51
"beech" "C" 19 26
"spruce" "A" 31 77
"fir" "A" 29 27
"beech" "A" 24 32
"oak" "C" 25 39
"beech" "B" 21 35
"fir" "C" 38 49
"spruce" "B" 26 68
"beech" "A" 30 53
"spruce" "C" 23 47
"beech" "D" 23 25
"beech" "D" 39 60
"spruce" "B" 25 51
"fir" "D" 24 32
"spruce" "C" 24 58
"oak" "D" 9 10
"spruce" "B" 22 55
"beech" "D" 33 46
"spruce" "C" 20 43
"beech" "A" 31 53
"beech" "D" 24 44
"spruce" "C" 22 53
"oak" "B" 30 56
"oak" "B" 26 38
"fir" "D" 19 22
"oak" "D" 21 42
"birch" "C" 13 25
"beech" "B" 29 60
"beech" "A" 28 41
"oak" "B" 15 28
"oak" "D" 26 46
"spruce" "C" 18 38
"spruce" "D" 17 25
"oak" "C" 24 34
"spruce" "C" 18 39
"beech" "B" 30 61
"oak" "B" 29 61
"spruce" "C" 23 54
"birch" "D" 18 29
"oak" "C" 19 36
"spruce" "B" 27 63
"beech" "B" 24 42
"spruce" "A" 24 62
"birch" "A" 14 28
"fir" "D" 17 14
"beech" "B" 32 52
"spruce" "A" 27 55
"spruce" "D" 29 64
"oak" "D" 18 45
"beech" "D" 29 56
"birch" "C" 10 13
"beech" "C" 35 85
"spruce" "C" 24 43
"oak" "C" 27 58
"beech" "D" 29 55
"birch" "B" 11 15
"oak" "B" 24 54
"beech" "D" 41 67
"birch" "D" 12 20
"oak" "A" 30 36
"spruce" "D" 21 57
"oak" "A" 21 42
"spruce" "B" 22 52
"spruce" "C" 26 80
"spruce" "A" 28 63
"beech" "B" 24 37
"fir" "A" 30 37
"oak" "B" 28 60
"spruce" "B" 25 65
"fir" "A" 26 25
"spruce" "A" 29 61
"spruce" "B" 23 21
"spruce" "C" 24 65
"beech" "A" 33 70
"beech" "A" 18 25
"spruce" "D" 23 37
"spruce" "D" 25 54
"birch" "B" 14 25
"spruce" "D" 25 57
"fir" "B" 20 29
"spruce" "A" 26 68
"oak" "A" 37 59
"beech" "A" 31 55
"oak" "C" 17 29
"spruce" "D" 21 45
"spruce" "C" 21 48
"spruce" "C" 21 53
"beech" "D" 39 58
"fir" "B" 20 23
"spruce" "B" 18 31
"spruce" "B" 22 54
"beech" "A" 19 28
"spruce" "C" 23 46
"beech" "B" 26 55
"spruce" "A" 24 39
"fir" "D" 31 31
"beech" "C" 36 64
"fir" "A" 12 13
"spruce" "D" 24 79
"beech" "D" 37 64
"spruce" "A" 22 42
"fir" "A" 38 44
"spruce" "B" 21 56
"spruce" "A" 20 24
"spruce" "A" 19 28
"oak" "A" 20 28
"oak" "B" 36 60
"spruce" "A" 26 76
"spruce" "D" 30 90
"spruce" "B" 23 68
"beech" "B" 28 52
"beech" "D" 30 45
"spruce" "C" 24 72
"spruce" "C" 19 42
"birch" "A" 15 24
"beech" "C" 26 55
"oak" "A" 19 33
"beech" "B" 33 66
"oak" "A" 26 47
"birch" "C" 13 22
"oak" "B" 19 42
"beech" "C" 23 37
"spruce" "A" 25 82
"spruce" "B" 22 37
"oak" "A" 24 31
"spruce" "B" 21 49
"oak" "C" 25 40
"beech" "B" 29 52
"birch" "D" 15 24
"beech" "A" 33 74
"spruce" "C" 28 35
"fir" "D" 26 39
"fir" "C" 21 28
"beech" "B" 36 79
"beech" "B" 20 27
"oak" "A" 27 58
"oak" "B" 23 35
"birch" "B" 12 20
"spruce" "D" 25 65
"birch" "C" 12 24
"beech" "A" 23 37
"beech" "D" 23 51
"beech" "A" 29 49
"beech" "B" 33 62
"oak" "C" 13 21
"spruce" "C" 26 68
"spruce" "D" 22 52
"spruce" "A" 23 58
"oak" "A" 29 62
"beech" "D" 30 70
"oak" "D" 22 51
"beech" "D" 33 58
"beech" "A" 35 55
"oak" "D" 21 41
"spruce" "C" 23 48
"spruce" "C" 23 60
"oak" "A" 21 50
"spruce" "C" 23 54
"spruce" "D" 27 76
"beech" "A" 31 52
"beech" "B" 26 36
"spruce" "D" 26 59
"beech" "D" 38 56
"beech" "B" 23 37
"spruce" "D" 20 37
"spruce" "D" 23 65
"beech" "A" 33 51
"spruce" "D" 21 45
"birch" "B" 16 33
"beech" "B" 34 63
"spruce" "D" 26 77
"spruce" "A" 23 76
"beech" "D" 27 38
"oak" "C" 19 40
"oak" "C" 17 35
"beech" "B" 30 64
"oak" "B" 21 43
"beech" "D" 36 57
"oak" "C" 19 28
"beech" "A" 31 50
"beech" "A" 23 40
"oak" "C" 12 18
"beech" "C" 28 48
"beech" "C" 25 41
"oak" "D" 25 27
"oak" "B" 17 8
"spruce" "D" 22 55
"spruce" "A" 31 98
"spruce" "C" 23 49
"spruce" "B" 27 61
"oak" "B" 35 57
"beech" "A" 29 44
"spruce" "C" 24 49
"beech" "A" 31 45
"oak" "C" 31 54
"spruce" "B" 21 41
"beech" "D" 33 65
"fir" "D" 30 24
"spruce" "B" 23 71
"birch" "B" 9 12
"spruce" "C" 15 30
"beech" "A" 28 32
"oak" "A" 17 32
"spruce" "D" 32 77
"oak" "A" 22 31
"fir" "A" 29 39
"birch" "D" 17 43
"spruce" "B" 21 42
"beech" "A" 20 36
"oak" "A" 19 28
"oak" "A" 22 42
"oak" "B" 21 54
"beech" "B" 31 48
"oak" "B" 21 29
"oak" "A" 13 24
"spruce" "C" 30 87
"beech" "C" 30 41
"oak" "C" 27 44
"spruce" "A" 24 66
"fir" "C" 41 48
"beech" "C" 33 50
"oak" "C" 19 23
"spruce" "C" 22 46
"spruce" "B" 25 60
"spruce" "C" 22 42
"spruce" "C" 22 58
"birch" "A" 12 25
"spruce" "B" 25 62
"beech" "C" 30 56
"spruce" "C" 25 47
"spruce" "C" 17 33
"oak" "D" 21 29
"spruce" "A" 19 30
"fir" "A" 28 29
"beech" "D" 33 56
"spruce" "D" 22 53
"oak" "D" 9 20
"birch" "B" 14 33
"spruce" "C" 26 79
"spruce" "B" 22 42
"oak" "B" 26 30
"birch" "A" 16 32
"oak" "A" 25 34
"spruce" "C" 19 39
"oak" "C" 23 41
"spruce" "C" 28 76
"spruce" "A" 18 28
"spruce" "A" 21 41
"oak" "C" 27 72
"beech" "D" 28 52
"beech" "C" 22 42
"beech" "C" 26 31
"oak" "C" 16 16
"spruce" "A" 23 50
"oak" "B" 37 85
"oak" "B" 29 37
"beech" "D" 23 36
"fir" "A" 30 23
"beech" "D" 33 83
"oak" "A" 35 77
"beech" "C" 32 57
"beech" "B" 28 41
"oak" "A" 13 14
"spruce" "D" 26 67
"spruce" "C" 26 67
"beech" "B" 22 34
"beech" "A" 27 39
"spruce" "A" 25 51
"fir" "C" 26 30
"spruce" "D" 28 81
"spruce" "C" 25 52
"beech" "A" 34 38
"oak" "C" 33 71
"spruce" "B" 17 37
"spruce" "D" 26 65
"birch" "D" 16 33
"oak" "C" 25 42
"beech" "A" 30 46
"beech" "A" 28 56
"oak" "C" 25 41
"beech" "C" 34 68
"oak" "D" 22 37
"spruce" "B" 24 51
"birch" "B" 15 30
"spruce" "A" 26 78
"oak" "D" 21 39
"beech" "B" 23 40
"spruce" "C" 22 56
"oak" "C" 18 30
"beech" "D" 36 56
"oak" "A" 13 17
"spruce" "B" 24 53
"spruce" "C" 22 39
"oak" "D" 29 44
"beech" "B" 24 34
"oak" "B" 37 67
"oak" "D" 17 33
"beech" "D" 25 43
"spruce" "C" 27 60
"spruce" "A" 22 44
"beech" "C" 35 73
"spruce" "D" 25 62
"beech" "B" 27 44
"spruce" "C" 24 60
"spruce" "B" 25 68
"spruce" "C" 25 45
"oak" "A" 22 25
"beech" "B" 25 49
"oak" "C" 22 25
"beech" "D" 30 51
"oak" "D" 28 53
"birch" "D" 16 36
"birch" "C" 15 30
"beech" "C" 25 48
"oak" "C" 26 29
"fir" "A" 36 27
"beech" "C" 26 51
"beech" "B" 31 43
"spruce" "A" 25 62
"spruce" "C" 30 71
"spruce" "B" 24 63
"spruce" "A" 22 62
"beech" "B" 24 35
"birch" "D" 19 35
"beech" "A" 28 38
"beech" "A" 31 43
"oak" "C" 28 51
"oak" "D" 16 27
"oak" "D" 24 42
"beech" "B" 31 56
"oak" "B" 16 32
"oak" "A" 33 47
"birch" "D" 17 37
"beech" "C" 24 37
"oak" "C" 21 42
"beech" "C" 28 42
"spruce" "B" 27 55
"beech" "B" 31 62
"spruce" "C" 12 16
"spruce" "A" 26 65
"beech" "A" 30 38
"beech" "A" 28 45
"spruce" "A" 28 66
"oak" "C" 26 68
"spruce" "D" 22 56
"spruce" "A" 24 67
"spruce" "D" 21 51
"beech" "B" 28 53
"beech" "B" 26 52
"spruce" "A" 29 53
"oak" "C" 27 41
"beech" "B" 21 35
"beech" "B" 34 50
"beech" "B" 24 38
"spruce" "B" 20 49
"spruce" "D" 23 49
"oak" "C" 20 43
"birch" "C" 12 24
"oak" "C" 20 37
"spruce" "B" 22 48
"oak" "D" 26 56
"spruce" "D" 25 30
"spruce" "C" 29 60
"oak" "D" 32 69
"beech" "A" 34 63
"beech" "C" 24 32
"oak" "C" 24 47
"oak" "B" 21 38
"beech" "A" 35 70
"spruce" "A" 24 64
"oak" "C" 22 48
"spruce" "D" 23 69
"spruce" "D" 24 67
"spruce" "A" 20 54
"beech" "D" 29 54
"oak" "D" 37 73
"oak" "D" 21 32
"beech" "C" 25 49
"spruce" "C" 21 47
"beech" "C" 31 73
"beech" "C" 26 32
"spruce" "C" 28 77
"oak" "D" 31 65
"beech" "B" 29 50
"oak" "D" 25 50
"beech" "C" 34 65
"oak" "A" 11 19
"spruce" "A" 26 51
"spruce" "B" 21 49
"beech" "A" 36 68
"oak" "A" 24 44
"spruce" "B" 26 64
"fir" "B" 33 46
"spruce" "B" 28 59
"beech" "A" 33 55
"birch" "D" 13 25
"spruce" "B" 18 40
"beech" "A" 39 85
"beech" "B" 28 43
"beech" "B" 24 48
"spruce" "D" 28 66
"spruce" "C" 21 37
"oak" "D" 34 54
"spruce" "A" 30 90
"oak" "C" 26 52
"fir" "D" 26 19
"spruce" "C" 23 48
"spruce" "B" 20 47
"fir" "A" 25 27
"beech" "B" 29 57
"beech" "A" 34 59
"spruce" "A" 26 63
"beech" "B" 28 48
"spruce" "A" 27 45
"oak" "D" 14 31
"fir" "A" 34 37
"spruce" "B" 23 42
"oak" "D" 35 69
"oak" "A" 28 56
"beech" "D" 33 61
"oak" "D" 21 45
"oak" "B" 23 51
"oak" "B" 23 56
"spruce" "D" 22 60
"spruce" "D" 24 58
"fir" "C" 13 17
"beech" "B" 24 47
"oak" "D" 25 56
"beech" "A" 29 60
"beech" "D" 31 65
"beech" "C" 28 39
"spruce" "C" 14 21
"beech" "D" 28 59
"beech" "A" 33 54
"oak" "B" 26 52
"oak" "A" 40 93
"oak" "B" 27 22
"spruce" "B" 24 59
"oak" "B" 35 65
"oak" "B" 31 58
"oak" "A" 30 74
"spruce" "D" 25 50
"beech" "B" 26 43
"spruce" "A" 24 57
"spruce" "A" 30 86
"spruce" "A" 24 70
"spruce" "B" 23 61
"spruce" "C" 19 32
"fir" "C" 31 40
"spruce" "B" 27 95
"beech" "C" 24 40
"beech" "D" 27 53
"oak" "A" 30 65
"oak" "C" 18 32
"beech" "D" 21 30
"beech" "B" 26 44
"beech" "B" 17 22
"spruce" "A" 24 38
"beech" "A" 34 67
"spruce" "B" 24 55
"oak" "D" 26 65
"spruce" "A" 31 77
"oak" "D" 18 35
"beech" "A" 28 65
"spruce" "D" 22 51
"spruce" "D" 28 73
"spruce" "C" 29 68
"oak" "C" 12 25
"spruce" "B" 24 74
"beech" "C" 24 41
"spruce" "D" 20 33
"oak" "D" 14 26
"beech" "D" 28 39
"beech" "B" 35 62
"oak" "D" 24 29
"spruce" "B" 21 35
"oak" "A" 26 59
"spruce" "C" 23 47
"spruce" "D" 21 53
"beech" "B" 29 62
"fir" "A" 31 18
"beech" "A" 26 42
"spruce" "D" 26 48
"oak" "C" 29 52
"beech" "D" 40 74
"fir" "C" 31 33
"birch" "D" 12 21
"oak" "D" 24 43
"spruce" "A" 23 65
"spruce" "D" 32 81
"beech" "D" 29 57
"spruce" "C" 17 34
"beech" "B" 29 44
"beech" "D" 33 74
"oak" "D" 26 47
"beech" "A" 32 52
"oak" "B" 21 24
"beech" "B" 27 59
"oak" "A" 19 31
"spruce" "A" 28 69
"oak" "A" 12 16
"beech" "A" 25 33
"beech" "C" 25 40
"spruce" "D" 29 79
"spruce" "C" 27 60
"oak" "C" 28 49
"beech" "C" 27 56
"beech" "D" 32 56
"beech" "C" 26 33
"beech" "C" 32 74
"fir" "C" 20 26
"oak" "D" 29 59
"spruce" "C" 19 45
"oak" "B" 22 48
"oak" "A" 25 35
"beech" "A" 30 41
"spruce" "B" 24 54
"beech" "A" 26 43
"spruce" "D" 26 65
"oak" "B" 20 41
"oak" "A" 25 49
"beech" "B" 25 46
"beech" "C" 32 33
"spruce" "C" 19 33
"oak" "B" 26 26
"spruce" "C" 28 57
"spruce" "C" 26 67
"spruce" "D" 26 54
"beech" "D" 34 70
"beech" "A" 25 43
"spruce" "D" 22 37
"beech" "B" 31 56
"beech" "D" 36 64
"beech" "D" 29 50
"beech" "A" 34 61
"beech" "D" 27 48
"beech" "D" 33 40
"spruce" "D" 30 86
"oak" "B" 32 50
"beech" "B" 33 69
"fir" "A" 25 21
"oak" "B" 21 33
"beech" "A" 31 47
"oak" "B" 19 43
"beech" "B" 31 51
"spruce" "B" 19 39
"beech" "C" 29 66
"oak" "C" 30 65
"spruce" "B" 20 51
"oak" "A" 18 28
"beech" "B" 29 62
"beech" "B" 37 57
"oak" "C" 29 59
"beech" "C" 36 57
"beech" "D" 31 52
"spruce" "D" 27 78
"birch" "C" 10 13
"spruce" "C" 14 27
"oak" "C" 23 47
"beech" "A" 29 61
"spruce" "C" 22 52
"spruce" "B" 20 40
"fir" "B" 36 23
"beech" "C" 31 54
"oak" "D" 34 63
"beech" "C" 29 60
"beech" "D" 25 40
"birch" "A" 15 33
"oak" "D" 12 18
"spruce" "D" 22 46
"oak" "C" 27 20
"beech" "A" 31 56
"beech" "D" 34 42
"beech" "A" 28 62
"spruce" "C" 21 44
"beech" "A" 25 49
"beech" "D" 32 62
"spruce" "B" 23 55
"beech" "B" 27 47
"spruce" "C" 29 57
"oak" "B" 28 49
"spruce" "D" 24 45
"oak" "D" 33 76
"beech" "C" 21 24
"spruce" "D" 27 58
"beech" "C" 28 46
"spruce" "C" 21 44
"oak" "A" 30 47
"spruce" "D" 22 35
"spruce" "A" 20 38
"spruce" "D" 20 39
"oak" "C" 20 37
"beech" "A" 34 59
"oak" "C" 20 37
"spruce" "D" 25 48
"birch" "B" 16 32
"spruce" "C" 18 32
"oak" "D" 29 62
"beech" "A" 25 34
"beech" "A" 26 48
"beech" "B" 22 42
"spruce" "B" 20 42
"spruce" "D" 28 59
"spruce" "B" 24 54
"spruce" "B" 28 40
"birch" "D" 17 40
"beech" "D" 34 69
"birch" "C" 16 35
"spruce" "C" 19 39
"beech" "C" 22 32
"spruce" "A" 20 55
"oak" "D" 26 57
"beech" "A" 30 55
"birch" "D" 16 32
"spruce" "D" 32 66
"fir" "B" 20 17
"beech" "C" 21 33
"beech" "C" 35 51
"beech" "C" 26 48
"fir" "A" 33 48
"oak" "D" 22 45
"oak" "B" 24 37
"beech" "D" 34 69
"spruce" "B" 23 67
"spruce" "D" 25 69
"birch" "A" 14 30
"fir" "D" 26 25
"beech" "A" 28 51
"spruce" "D" 27 53
"oak" "D" 27 46
"oak" "C" 26 37
"beech" "B" 31 62
"beech" "D" 27 45
"birch" "D" 14 26
"beech" "C" 34 57
"spruce" "B" 21 31
"oak" "A" 32 25
"beech" "A" 38 66
"spruce" "C" 21 46
"beech" "C" 23 33
"oak" "C" 17 37
"beech" "C" 35 60
"beech" "C" 30 35
"beech" "B" 28 38
"birch" "A" 13 26
"beech" "A" 27 48
"spruce" "C" 23 56
"oak" "A" 38 86
"oak" "A" 23 47
"beech" "C" 33 57
"birch" "C" 10 14
"spruce" "B" 25 76
"beech" "B" 26 35
"beech" "C" 20 29
"beech" "B" 23 41
"birch" "D" 14 25
"birch" "D" 21 38
"oak" "C" 17 32
"beech" "C" 30 38
"beech" "D" 32 65
"birch" "B" 12 23
"beech" "B" 27 51
"spruce" "C" 22 64
"spruce" "B" 27 64
"beech" "A" 26 33
"oak" "C" 19 32
"beech" "B" 30 54
"beech" "B" 34 54
"spruce" "C" 24 42
"oak" "D" 22 49
"spruce" "C" 20 46
"beech" "B" 21 39
"beech" "A" 40 79
"birch" "B" 16 33
"birch" "A" 15 29
"birch" "A" 11 21
"birch" "D" 11 16
"spruce" "A" 26 67
"spruce" "C" 24 68
"beech" "B" 21 29
"beech" "B" 24 40
"spruce" "A" 24 61
"oak" "B" 20 40
"beech" "C" 28 43
"spruce" "C" 19 36
"spruce" "D" 22 64
"spruce" "B" 27 60
"beech" "C" 30 49
"spruce" "D" 30 87
"oak" "D" 39 60
"spruce" "C" 26 77
"beech" "D" 31 47
"beech" "A" 28 40
"birch" "D" 18 38
"birch" "C" 12 18
"beech" "B" 30 51
"oak" "D" 10 23
"beech" "B" 18 28
"beech" "C" 35 68
"spruce" "B" 25 62
"beech" "D" 26 45
"beech" "A" 39 36
"oak" "C" 20 39
"oak" "D" 13 17
"spruce" "D" 22 46
"fir" "B" 38 40
"oak" "A" 41 66
"beech" "A" 31 37
"beech" "D" 31 42
"fir" "A" 21 26
"beech" "B" 22 42
"beech" "C" 30 54
"spruce" "A" 27 64
"fir" "D" 29 30
"oak" "D" 24 49
"beech" "A" 39 87
"oak" "B" 24 50
"beech" "D" 37 51
"oak" "D" 18 30
"beech" "D" 24 39
"spruce" "A" 24 72
"spruce" "C" 25 67
"oak" "A" 41 58
"fir" "B" 33 34
"oak" "B" 26 44
"spruce" "D" 25 50
"beech" "D" 35 63
"oak" "B" 27 57
"beech" "B" 38 80
"spruce" "D" 26 54
"spruce" "B" 23 41
"spruce" "A" 26 67
"beech" "C" 28 59
"oak" "A" 38 100
"birch" "C" 13 25
"birch" "B" 14 30
"oak" "A" 20 38
"spruce" "A" 23 49
"oak" "D" 30 49
"spruce" "A" 28 84
"spruce" "C" 20 52
"beech" "A" 35 54
"spruce" "A" 17 32
"oak" "B" 25 34
"beech" "D" 29 39
"spruce" "C" 20 32
"oak" "B" 7 7
"beech" "B" 28 50
"oak" "D" 27 38
"fir" "A" 39 34
"spruce" "A" 21 50
"beech" "B" 37 69
"fir" "B" 20 26
"spruce" "B" 27 74
"beech" "D" 31 55
"beech" "C" 30 61
"beech" "C" 29 51
"beech" "B" 30 58
"spruce" "B" 20 58
"spruce" "C" 25 57
"beech" "D" 37 74
"oak" "A" 28 57
"beech" "B" 21 39
"beech" "B" 17 28
"oak" "B" 24 35
"spruce" "D" 24 54
"beech" "C" 21 29
"beech" "C" 18 24
"spruce" "D" 29 77
"beech" "B" 27 46
"beech" "D" 26 32
"beech" "A" 35 66
"fir" "C" 18 22
"oak" "D" 30 54
"beech" "C" 28 37
"oak" "A" 20 34
"oak" "B" 28 47
"birch" "A" 12 19
"beech" "A" 33 66
"spruce" "D" 19 42
"birch" "A" 15 34
"spruce" "D" 24 52
"oak" "B" 29 56
"beech" "A" 29 37
"beech" "B" 33 46
"spruce" "B" 27 80
"oak" "C" 21 49
"spruce" "A" 29 77
"beech" "B" 28 26
"oak" "C" 22 39
"oak" "D" 21 37
"beech" "D" 28 44
"fir" "D" 39 49
"birch" "A" 15 32
"spruce" "A" 24 44
"birch" "A" 12 25
"oak" "B" 30 45
"oak" "D" 26 41
"beech" "A" 46 90
"beech" "D" 16 23
"beech" "B" 28 57
"birch" "A" 15 24
"oak" "B" 21 57
"oak" "C" 34 42
"oak" "A" 25 56
"fir" "B" 18 21
"beech" "D" 38 89
"oak" "B" 25 53
"oak" "D" 27 62
"oak" "D" 13 26
"beech" "D" 28 45
"oak" "D" 22 47
"oak" "A" 26 25
"beech" "A" 26 49
"spruce" "B" 24 52
"beech" "D" 34 57
"beech" "B" 20 30
"oak" "C" 23 31
"oak" "A" 12 23
"beech" "B" 33 47
"spruce" "A" 23 78
"oak" "B" 28 61
"oak" "B" 22 48
"spruce" "C" 23 50
"oak" "B" 32 79
"spruce" "C" 23 63
"beech" "B" 19 25
"beech" "D" 30 47
"beech" "D" 34 54
"oak" "D" 14 23
"spruce" "A" 28 72
"spruce" "B" 26 57
"spruce" "B" 27 75
"spruce" "B" 25 55
"beech" "D" 34 59
"oak" "B" 36 79
"spruce" "C" 24 39
"beech" "C" 29 49
"beech" "B" 20 34
"oak" "B" 15 23
"beech" "C" 30 50
"beech" "D" 31 70
"oak" "C" 25 56
"beech" "C" 31 60
"spruce" "D" 25 49
"oak" "C" 23 40
"oak" "B" 21 31
"birch" "C" 9 11
"fir" "B" 33 39
"beech" "B" 28 56
"beech" "D" 34 43
"beech" "C" 27 46
"beech" "A" 29 46
"beech" "A" 26 37
"birch" "D" 15 28
"spruce" "C" 22 33
"birch" "A" 13 23
"beech" "A" 38 85
"spruce" "A" 27 33
"spruce" "D" 27 70
"beech" "A" 25 38
"fir" "A" 30 26
"oak" "C" 21 44
"beech" "B" 37 48
"oak" "C" 34 73
"oak" "A" 21 45
"birch" "A" 18 30
"oak" "C" 23 55
"oak" "A" 29 62
"beech" "B" 28 41
"beech" "B" 28 46
"oak" "B" 39 65
"birch" "A" 12 24
"spruce" "D" 26 68
"fir" "C" 26 27
"beech" "B" 34 60
"beech" "C" 27 50
"beech" "B" 20 29
"birch" "D" 21 34
"beech" "B" 21 34
"beech" "B" 29 62
"beech" "A" 31 51
"fir" "D" 27 30
"spruce" "A" 25 55
"spruce" "C" 20 49
"spruce" "A" 24 33
"beech" "B" 34 67
"beech" "D" 36 84
"oak" "B" 22 56
"oak" "C" 31 52
"spruce" "A" 20 47
"oak" "D" 21 42
"beech" "B" 27 45
"spruce" "B" 24 45
"oak" "A" 11 11
"spruce" "C" 25 55
"beech" "B" 34 68
"oak" "C" 26 49
"fir" "A" 28 34
"spruce" "C" 20 56
"spruce" "A" 21 56
"beech" "D" 33 64
"spruce" "A" 25 51
"oak" "D" 32 50
"spruce" "D" 28 82
"fir" "A" 31 32
"spruce" "D" 27 68
"oak" "A" 34 59
"beech" "D" 27 49
"spruce" "B" 21 58
"beech" "D" 21 34
"spruce" "D" 24 65
"beech" "B" 29 47
"beech" "C" 29 44
"beech" "A" 28 35
"oak" "C" 13 29
"spruce" "D" 24 53
"spruce" "D" 21 39
"beech" "D" 26 42
"beech" "D" 25 40
"oak" "B" 22 43
"spruce" "A" 21 53
"oak" "C" 26 40
"spruce" "B" 19 33
"spruce" "D" 19 30
"beech" "D" 27 36
"beech" "D" 23 42
"fir" "C" 20 26
"oak" "C" 30 55
"birch" "B" 13 26
"oak" "C" 23 66
"spruce" "C" 23 50
"oak" "C" 28 53
"oak" "D" 17 38
"beech" "A" 33 53
"beech" "A" 35 66
"birch" "D" 15 29
"oak" "B" 30 57
"spruce" "D" 26 71
"fir" "C" 28 22
"beech" "B" 19 25
"beech" "B" 26 38
"beech" "A" 32 43
"birch" "A" 17 36
"spruce" "A" 25 47
"beech" "C" 31 53
"spruce" "C" 22 47
"oak" "B" 16 22
"beech" "A" 26 39
